,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,AAPL240119P00050000,2023-11-29 18:31:45+00:00,50.0,0.01,0.0,0.01,0.0,0.0,3,41424,1.1875040625,False,REGULAR,USD
1,AAPL240119P00055000,2023-12-01 16:46:43+00:00,55.0,0.01,0.0,0.01,0.0,0.0,1,7917,1.09375453125,False,REGULAR,USD
2,AAPL240119P00060000,2023-11-15 19:49:13+00:00,60.0,0.01,0.0,0.01,0.0,0.0,1274,10121,1.0312548437500002,False,REGULAR,USD
3,AAPL240119P00065000,2023-12-05 14:56:38+00:00,65.0,0.01,0.0,0.01,0.0,0.0,30,2923,0.9687503125,False,REGULAR,USD
4,AAPL240119P00070000,2023-12-04 14:44:03+00:00,70.0,0.01,0.0,0.01,0.0,0.0,8,6060,0.9062509375,False,REGULAR,USD
5,AAPL240119P00075000,2023-12-04 18:18:42+00:00,75.0,0.01,0.0,0.01,0.0,0.0,20,5400,0.8437515624999999,False,REGULAR,USD
6,AAPL240119P00080000,2023-12-05 14:37:41+00:00,80.0,0.01,0.0,0.01,0.0,0.0,3,12984,0.7812521875,False,REGULAR,USD
7,AAPL240119P00085000,2023-12-06 19:23:07+00:00,85.0,0.01,0.0,0.01,0.0,0.0,3,5601,0.73437765625,False,REGULAR,USD
8,AAPL240119P00090000,2023-12-07 18:49:54+00:00,90.0,0.01,0.01,0.02,0.0,0.0,100,16029,0.7500025,False,REGULAR,USD
9,AAPL240119P00095000,2023-12-05 15:26:38+00:00,95.0,0.01,0.01,0.02,0.0,0.0,691,6897,0.6953155468750001,False,REGULAR,USD
10,AAPL240119P00100000,2023-12-06 18:55:41+00:00,100.0,0.01,0.01,0.02,0.0,0.0,1,19992,0.648441015625,False,REGULAR,USD
11,AAPL240119P00105000,2023-12-06 14:30:06+00:00,105.0,0.01,0.01,0.02,0.0,0.0,2,11058,0.6093789062500001,False,REGULAR,USD
12,AAPL240119P00110000,2023-12-06 16:49:25+00:00,110.0,0.01,0.01,0.02,0.0,0.0,2,30089,0.5625043750000001,False,REGULAR,USD
13,AAPL240119P00115000,2023-12-07 16:28:45+00:00,115.0,0.02,0.02,0.03,-0.01,-33.333336,200,15366,0.5468795312500001,False,REGULAR,USD
14,AAPL240119P00120000,2023-12-07 19:59:57+00:00,120.0,0.03,0.02,0.03,0.0,0.0,64,28955,0.507817421875,False,REGULAR,USD
15,AAPL240119P00125000,2023-12-05 19:55:54+00:00,125.0,0.02,0.03,0.04,-0.01,-33.333336,7,23047,0.49023947265625006,False,REGULAR,USD
16,AAPL240119P00130000,2023-12-07 18:07:25+00:00,130.0,0.04,0.04,0.05,0.01,33.333336,15,27102,0.46094289062500005,False,REGULAR,USD
17,AAPL240119P00135000,2023-12-07 19:31:10+00:00,135.0,0.06,0.05,0.06,0.009999998,19.999996,2,26449,0.43164630859375,False,REGULAR,USD
18,AAPL240119P00140000,2023-12-07 19:31:09+00:00,140.0,0.07,0.06,0.07,0.0,0.0,70,42060,0.39942006835937505,False,REGULAR,USD
19,AAPL240119P00145000,2023-12-07 19:31:10+00:00,145.0,0.09,0.08,0.09,0.0,0.0,76,28819,0.37305314453125,False,REGULAR,USD
20,AAPL240119P00150000,2023-12-07 20:06:29+00:00,150.0,0.12,0.11,0.12,0.009999998,9.090907,5036,47836,0.348639326171875,False,REGULAR,USD
21,AAPL240119P00155000,2023-12-07 19:27:13+00:00,155.0,0.14,0.14,0.15,-0.010000005,-6.66667,851,28496,0.3198310205078124,False,REGULAR,USD
22,AAPL240119P00160000,2023-12-07 20:06:51+00:00,160.0,0.18,0.17,0.18,0.0,0.0,118,40170,0.2890696093749999,False,REGULAR,USD
23,AAPL240119P00165000,2023-12-07 19:26:29+00:00,165.0,0.22,0.22,0.23,-0.019999996,-8.333332,2817,42775,0.260749580078125,False,REGULAR,USD
24,AAPL240119P00170000,2023-12-07 20:07:26+00:00,170.0,0.3,0.3,0.31,-0.03999999,-11.764703,12573,81417,0.23389437988281248,False,REGULAR,USD
25,AAPL240119P00175000,2023-12-07 19:58:09+00:00,175.0,0.45,0.45,0.46,-0.07999998,-15.0943365,895,84947,0.20996883789062498,False,REGULAR,USD
26,AAPL240119P00180000,2023-12-07 20:07:26+00:00,180.0,0.74,0.74,0.75,-0.17000002,-18.68132,5226,89236,0.18933916137695314,False,REGULAR,USD
27,AAPL240119P00185000,2023-12-07 20:06:10+00:00,185.0,1.32,1.32,1.33,-0.32999992,-19.999996,11925,56490,0.1724936267089844,False,REGULAR,USD
28,AAPL240119P00190000,2023-12-07 20:09:59+00:00,190.0,2.41,2.41,2.43,-0.5799999,-19.397991,15270,54929,0.15845568115234376,False,REGULAR,USD
29,AAPL240119P00195000,2023-12-07 20:01:48+00:00,195.0,4.22,4.15,4.25,-0.9100003,-17.738796,4554,21259,0.1431970446777344,True,REGULAR,USD
30,AAPL240119P00200000,2023-12-07 20:06:04+00:00,200.0,7.05,7.0,7.15,-1.46,-17.156286,245,4342,0.13013565185546871,True,REGULAR,USD
31,AAPL240119P00205000,2023-12-07 17:50:09+00:00,205.0,10.5,10.95,11.1,-2.1000004,-16.666668,17,126,0.11646391357421876,True,REGULAR,USD
32,AAPL240119P00210000,2023-12-07 17:22:07+00:00,210.0,15.04,15.7,15.9,-2.8100004,-15.742298,8,224,0.127938408203125,True,REGULAR,USD
33,AAPL240119P00215000,2023-12-06 19:08:37+00:00,215.0,21.98,20.6,20.85,0.0,0.0,1,4,0.147469462890625,True,REGULAR,USD
34,AAPL240119P00220000,2023-11-29 20:34:50+00:00,220.0,30.87,25.7,25.9,0.0,0.0,1,1,0.18726398681640627,True,REGULAR,USD
35,AAPL240119P00225000,2023-12-06 20:21:49+00:00,225.0,32.57,30.7,30.9,0.0,0.0,1,1,0.2148516015625,True,REGULAR,USD
36,AAPL240119P00230000,2023-12-06 20:21:49+00:00,230.0,37.59,35.7,35.95,0.0,0.0,1,0,0.252937158203125,True,REGULAR,USD
37,AAPL240119P00235000,2023-12-06 20:21:51+00:00,235.0,42.53,40.7,40.9,0.0,0.0,1,1,0.266608896484375,True,REGULAR,USD
38,AAPL240119P00240000,2023-12-06 20:22:20+00:00,240.0,47.58,45.65,46.0,0.0,0.0,1,1,0.31592480957031244,True,REGULAR,USD
39,AAPL240119P00245000,2023-12-06 19:29:07+00:00,245.0,52.3,50.65,50.9,0.0,0.0,9,3,0.31445998046874996,True,REGULAR,USD
40,AAPL240119P00250000,2023-12-06 20:22:20+00:00,250.0,57.6,55.7,55.9,0.0,0.0,2,0,0.33740896972656254,True,REGULAR,USD
41,AAPL240119P00255000,2023-11-29 20:34:58+00:00,255.0,65.89,60.65,60.9,0.0,0.0,3,0,0.35938140625,True,REGULAR,USD
42,AAPL240119P00260000,2023-05-08 15:17:10+00:00,260.0,86.5,79.4,81.55,0.0,0.0,1,0,1.2622107202148438,True,REGULAR,USD
43,AAPL240119P00265000,2023-11-20 16:59:06+00:00,265.0,73.66,70.7,70.9,0.0,0.0,4,0,0.4018614501953125,True,REGULAR,USD
44,AAPL240119P00270000,2023-11-22 20:09:04+00:00,270.0,78.6,75.65,75.85,0.0,0.0,1,0,0.39942006835937505,True,REGULAR,USD
45,AAPL240119P00275000,2023-02-02 18:48:45+00:00,275.0,124.45,122.6,124.85,0.0,0.0,1,0,2.4554481973266604,True,REGULAR,USD
46,AAPL240119P00280000,2023-08-08 14:23:48+00:00,280.0,102.45,102.2,105.45,0.0,0.0,2000,0,1.5450462200927733,True,REGULAR,USD
47,AAPL240119P00285000,2023-07-31 18:14:59+00:00,285.0,89.06,95.8,99.2,0.0,0.0,3,0,1.0683640332031252,True,REGULAR,USD
48,AAPL240119P00290000,2023-10-18 19:56:59+00:00,290.0,114.39,100.05,100.55,0.0,0.0,1,0,0.970581348876953,True,REGULAR,USD
49,AAPL240119P00300000,2023-12-06 20:22:18+00:00,300.0,107.57,105.7,105.9,0.0,0.0,1,1,0.534184345703125,True,REGULAR,USD
50,AAPL240119P00310000,2023-12-06 20:22:18+00:00,310.0,117.59,115.65,115.85,0.0,0.0,1,0,0.5400436621093752,True,REGULAR,USD
51,AAPL240119P00320000,2023-12-06 19:10:48+00:00,320.0,127.0,125.6,125.85,0.0,0.0,10,1,0.5712933496093751,True,REGULAR,USD
